ACC,ARI,NMI,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,created_time
57.36,46.73,71.8,labeled_5,DeepAligned,bert,0.25,0.1,1.0,0,2025-01-08-20-43-52
54.98,40.38,68.64,labeled_5,DeepAligned,bert,0.5,0.1,1.0,0,2025-01-08-21-01-47
77.92,69.26,83.85,labeled_5,DeepAligned,bert,0.75,0.1,1.0,0,2025-01-08-21-12-16
